episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,10.43,0.25,7693,196,-1,-1,600,5706.25
2,22.17,0.375,4803,80,-1,-1,600,9056.24
3,17.67,0.625,6485,257,-1,-1,600,6844.05
4,19.01,0.125,3225,406,-1,-1,600,9180.11
5,20.2,0.375,3591,157,-1,-1,600,9693.8
6,14.8,0.25,4874,26,-1,-1,600,9513.56
7,9.81,0.125,5178,1,-1,-1,600,7699.87
8,13.64,0.5,2308,10,-1,-1,600,9004.85
9,18.92,0.25,4299,9,-1,-1,600,9285.76
10,23.31,0.25,2072,106,-1,-1,600,11168.96
11,4.09,0.0,6675,-1,-1,-1,600,3722.11
12,14.32,0.25,5337,260,-1,-1,600,7655.03
13,14.97,0.125,8419,133,-1,-1,600,6416.03
14,9.08,0.125,5152,38,-1,-1,600,7157.38
15,13.45,0.0,6728,-1,-1,-1,600,7471.27
16,7.24,0.0,1627,-1,-1,-1,600,8037.49
17,4.78,0.25,3173,2,-1,-1,600,9345.74
18,10.35,0.0,5794,-1,-1,-1,600,8257.51
19,5.8,0.125,5362,32,-1,-1,600,5962.88
20,8.71,0.125,4169,38,-1,-1,600,7953.53
21,25.17,0.375,2717,7,-1,-1,600,10435.82
22,2.24,0.125,3363,6,-1,-1,600,5221.0
23,11.88,0.375,5653,11,-1,-1,600,6940.46
24,17.32,0.375,3521,2,-1,-1,600,8425.79
25,8.84,0.125,3146,235,-1,-1,600,9116.38
26,19.73,0.75,3319,35,-1,-1,600,8282.81
27,7.48,0.25,4741,1,-1,-1,600,7963.31
28,12.03,0.25,5205,114,-1,-1,600,9965.97
29,24.98,0.5,2399,3,-1,-1,600,9736.53
30,28.48,0.875,2060,47,-1,-1,600,11417.54
