episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,2.53,0.0,2731,-1,-1,-1,500,0.0
2,0.28,0.0,209,-1,-1,-1,500,0.0
3,5.31,0.0,2183,-1,-1,-1,500,0.0
4,1.37,0.125,2433,1,-1,-1,500,0.0
5,3.32,0.125,2301,1,-1,-1,500,0.0
6,0.93,0.0,2712,-1,-1,-1,500,0.0
7,2.14,0.125,3257,73,-1,-1,500,0.0
8,0.58,0.0,1508,-1,-1,-1,500,0.0
9,0.7,0.0,3405,-1,-1,-1,500,0.0
10,2.54,0.0,2861,-1,-1,-1,500,0.0
11,0.54,0.0,2229,-1,-1,-1,500,0.0
12,0.34,0.0,1160,-1,-1,-1,500,0.0
13,3.2,0.0,2850,-1,-1,-1,500,0.0
14,2.35,0.125,3531,35,-1,-1,500,0.0
15,0.5,0.0,2919,-1,-1,-1,500,0.0
16,4.47,0.125,3287,157,-1,-1,500,0.0
17,0.2,0.0,2492,-1,-1,-1,500,0.0
18,1.82,0.125,2177,26,-1,-1,500,0.0
19,0.67,0.0,1670,-1,-1,-1,500,0.0
20,0.63,0.125,730,5,-1,-1,500,0.0
21,7.72,0.125,2200,14,-1,-1,500,0.0
22,1.81,0.0,3399,-1,-1,-1,500,0.0
23,4.72,0.25,1184,12,-1,-1,500,0.0
24,0.75,0.0,4894,-1,-1,-1,500,0.0
25,0.73,0.0,1425,-1,-1,-1,500,0.0
26,1.22,0.125,2105,1,-1,-1,500,0.0
27,2.63,0.0,3525,-1,-1,-1,500,0.0
28,0.35,0.0,2981,-1,-1,-1,500,0.0
29,0.74,0.125,3944,1,-1,-1,500,0.0
30,6.29,0.0,2432,-1,-1,-1,500,0.0
