algorithm,config,coverage,detection
boids,SWARN-S1,61.64399999999999,0.39999999999999997
boids,SWARN-S2,48.156,0.16666666666666666
boids,SWARN-S3,38.416000000000004,0.28
boids,SWARN-S4,31.838,0.13999999999999999
boids,SWARN-S5,39.848,0.28
boids,SWARN-S6,35.888,0.0875
boids,SWARN-S7,52.18311111111111,0.3375
boids,SWARN-S8,48.67466666666667,0.3
boids,SWARN-S9,73.54275,0.5599999999999999
boids,SWARN-S10,64.70075,0.47000000000000003
boids,SWARN-S11,86.61808,0.7000000000000001
boids,SWARN-S12,80.31008,0.6199999999999999
potential_fields,SWARN-S1,57.516,0.3
potential_fields,SWARN-S2,49.83200000000001,0.2
potential_fields,SWARN-S3,44.574999999999996,0.26
potential_fields,SWARN-S4,43.024,0.24
potential_fields,SWARN-S5,43.279,0.13999999999999999
potential_fields,SWARN-S6,42.815,0.15
potential_fields,SWARN-S7,57.37022222222223,0.375
potential_fields,SWARN-S8,54.30533333333334,0.3125
potential_fields,SWARN-S9,63.9895,0.39
potential_fields,SWARN-S10,60.980500000000006,0.43
potential_fields,SWARN-S11,73.46768,0.5933333333333334
potential_fields,SWARN-S12,69.4096,0.49333333333333335
