Config,Algorithm,Coverage (%),Detection Rate,Collisions,Steps to 1st Target,Episode Length,Path Length
SWARN-S1,MAPPO,70.57,0.53,1009.67,9.31,237.47,750.67
SWARN-S1,RANDOM WALK,14.4,0.36,143.93,63.4,282.13,965.18
SWARN-S1,BOIDS,4.53,0.08,961.4,68.33,300.0,404.23
SWARN-S1,POTENTIAL FIELDS,2.39,0.09,904.53,20.25,300.0,591.33
SWARN-S2,MAPPO,63.4,0.29,1179.17,28.33,300.0,509.15
SWARN-S2,RANDOM WALK,10.55,0.27,553.17,99.8,300.0,711.17
SWARN-S2,BOIDS,0.73,0.04,1385.33,1.0,300.0,57.87
SWARN-S2,POTENTIAL FIELDS,0.71,0.04,1496.9,2.0,300.0,40.9
SWARN-S3,MAPPO,69.48,0.49,495.87,32.41,479.1,4337.7
SWARN-S3,RANDOM WALK,12.93,0.29,221.47,134.68,500.0,3647.52
SWARN-S3,BOIDS,4.02,0.13,2308.53,36.91,500.0,1682.06
SWARN-S3,POTENTIAL FIELDS,2.93,0.13,1876.6,17.58,500.0,3114.7
SWARN-S4,MAPPO,65.16,0.38,4753.73,27.5,486.97,3241.78
SWARN-S4,RANDOM WALK,11.51,0.2,555.67,208.86,500.0,3402.01
SWARN-S4,BOIDS,1.57,0.05,2590.47,30.88,500.0,1265.9
SWARN-S4,POTENTIAL FIELDS,1.98,0.07,3127.93,13.67,500.0,1863.83
SWARN-S5,MAPPO,61.65,0.43,11081.5,37.41,487.2,2563.19
SWARN-S5,RANDOM WALK,11.76,0.23,545.87,118.86,500.0,3404.0
SWARN-S5,BOIDS,1.91,0.08,2135.9,14.64,500.0,1843.73
SWARN-S5,POTENTIAL FIELDS,2.41,0.11,2561.03,9.54,500.0,2430.57
SWARN-S6,MAPPO,60.22,0.38,10687.33,12.76,500.0,2452.24
SWARN-S6,RANDOM WALK,11.15,0.2,690.07,170.38,500.0,3288.46
SWARN-S6,BOIDS,1.63,0.03,2646.73,12.29,500.0,1152.95
SWARN-S6,POTENTIAL FIELDS,1.87,0.05,3260.2,12.25,500.0,1731.7
SWARN-S7,MAPPO,74.43,0.53,92997.47,7.73,600.0,8705.71
SWARN-S7,RANDOM WALK,16.23,0.28,553.47,103.04,600.0,11106.46
SWARN-S7,BOIDS,14.03,0.27,4436.27,85.08,600.0,8221.27
SWARN-S7,POTENTIAL FIELDS,5.3,0.19,3938.93,13.15,600.0,11117.27
SWARN-S8,MAPPO,70.38,0.51,78144.73,8.87,600.0,8593.16
SWARN-S8,RANDOM WALK,15.34,0.25,1340.03,113.9,600.0,10479.69
SWARN-S8,BOIDS,6.86,0.19,7483.53,67.38,600.0,5350.8
SWARN-S8,POTENTIAL FIELDS,3.82,0.1,8436.53,26.06,600.0,6541.33
SWARN-S9,MAPPO,79.41,0.57,347118.47,4.4,700.0,24818.52
SWARN-S9,RANDOM WALK,20.56,0.38,1428.63,123.73,700.0,25815.94
SWARN-S9,BOIDS,22.95,0.4,10957.9,58.03,700.0,20310.48
SWARN-S9,POTENTIAL FIELDS,7.28,0.25,7632.3,30.41,700.0,27320.03
SWARN-S10,MAPPO,79.96,0.65,341545.53,3.63,687.43,20849.01
SWARN-S10,RANDOM WALK,19.92,0.35,2413.4,115.13,700.0,25035.61
SWARN-S10,BOIDS,11.99,0.27,18004.43,70.21,700.0,13687.48
SWARN-S10,POTENTIAL FIELDS,5.69,0.18,16841.97,15.3,700.0,18112.47
SWARN-S11,MAPPO,87.36,0.7,2460916.23,1.13,1000.0,60859.72
SWARN-S11,RANDOM WALK,32.96,0.55,4237.17,37.53,1000.0,73908.54
SWARN-S11,BOIDS,38.75,0.62,39880.07,19.17,1000.0,57893.81
SWARN-S11,POTENTIAL FIELDS,10.1,0.31,29047.9,9.17,1000.0,70859.4
SWARN-S12,MAPPO,85.98,0.67,2128076.23,1.73,1000.0,57722.31
SWARN-S12,RANDOM WALK,31.61,0.48,6821.07,71.4,1000.0,71861.34
SWARN-S12,BOIDS,23.37,0.39,58408.07,23.53,1000.0,40916.14
SWARN-S12,POTENTIAL FIELDS,8.24,0.25,50366.73,8.97,1000.0,49750.4
