episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,86.79,0.8,311863,1,-1,-1,700,21463.89
2,83.27,0.4,378121,1,-1,-1,700,21600.62
3,80.86,0.9,305685,1,-1,-1,700,21524.71
4,80.19,0.9,317950,1,-1,-1,700,19917.08
5,82.17,0.9,319754,12,-1,-1,700,20510.69
6,82.28,0.7,356579,3,-1,-1,700,21715.36
7,77.2,0.4,324489,1,-1,-1,700,21077.1
8,81.05,0.5,303550,1,-1,-1,700,20555.15
9,83.96,0.7,393664,1,-1,-1,700,22310.68
10,79.8,0.3,386438,1,-1,-1,700,21303.92
11,85.8,1.0,13036,1,-1,323,323,12317.63
12,79.6,0.7,352435,1,-1,-1,700,21094.64
13,74.16,0.7,380871,6,-1,-1,700,21125.72
14,77.0,0.6,359366,1,-1,-1,700,19807.28
15,79.0,0.6,326497,7,-1,-1,700,21076.65
16,79.24,0.8,287392,1,-1,-1,700,19769.18
17,85.6,0.7,354895,1,-1,-1,700,22175.03
18,81.49,0.3,348622,1,-1,-1,700,21296.1
19,78.45,0.7,388928,21,-1,-1,700,21624.3
20,81.98,0.8,373589,1,-1,-1,700,21189.96
21,77.92,0.5,358482,1,-1,-1,700,21024.6
22,77.99,0.8,369468,1,-1,-1,700,21672.14
23,82.66,0.8,308625,1,-1,-1,700,20138.7
24,67.91,0.5,380835,29,-1,-1,700,21045.89
25,78.44,0.7,382171,1,-1,-1,700,21930.83
26,81.75,0.5,316673,1,-1,-1,700,21612.99
27,75.05,0.5,364365,1,-1,-1,700,19796.64
28,72.92,0.6,431455,4,-1,-1,700,21109.4
29,83.96,0.5,362720,5,-1,-1,700,21765.39
30,80.2,0.6,387848,1,-1,-1,700,21918.0
