episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,24.44,0.333,68,4,-1,-1,300,1980.52
2,21.88,1.0,66,27,-1,252,252,1676.34
3,21.4,0.667,82,1,-1,-1,300,2025.46
4,22.24,0.0,71,-1,-1,-1,300,2016.33
5,24.44,0.667,71,39,-1,-1,300,1990.54
6,20.96,1.0,18,84,-1,235,235,1606.14
7,17.56,0.333,374,248,-1,-1,300,1596.49
8,23.12,0.333,83,134,-1,-1,300,1996.21
9,22.56,0.333,52,1,-1,-1,300,2023.53
10,19.64,0.0,324,-1,-1,-1,300,1648.3
11,18.76,0.333,317,76,-1,-1,300,1639.21
12,20.8,0.0,24,-1,-1,-1,300,2034.74
13,18.76,0.333,76,37,-1,-1,300,2001.76
14,17.68,0.333,345,196,-1,-1,300,1611.61
15,24.64,0.667,40,9,-1,-1,300,2012.69
16,20.0,0.0,338,-1,-1,-1,300,1620.05
17,14.04,0.0,620,-1,-1,-1,300,1231.87
18,20.2,0.333,318,63,-1,-1,300,1634.11
19,21.24,0.0,126,-1,-1,-1,300,1963.71
20,24.4,0.333,48,5,-1,-1,300,2029.72
21,16.04,0.0,633,-1,-1,-1,300,1204.72
22,20.04,0.333,371,61,-1,-1,300,1570.56
23,13.16,0.0,646,-1,-1,-1,300,1216.5
24,22.04,0.667,104,34,-1,-1,300,1966.1
25,24.0,0.0,42,-1,-1,-1,300,2023.92
26,24.2,0.667,118,42,-1,-1,300,1954.58
27,15.52,0.0,647,-1,-1,-1,300,1184.53
28,23.88,0.667,48,50,-1,-1,300,2019.36
29,20.56,0.333,37,10,-1,-1,300,2047.12
30,22.96,0.667,52,21,-1,-1,300,2007.22
