episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,15.58,0.5,651,35,-1,-1,500,6100.61
2,18.04,0.5,144,58,-1,-1,500,6779.13
3,20.27,0.5,189,175,-1,-1,500,6749.2
4,15.41,0.375,1158,1,-1,-1,500,5400.47
5,17.39,0.5,374,1,-1,-1,500,6455.71
6,15.68,0.25,983,429,-1,-1,500,5667.63
7,15.16,0.25,1579,195,-1,-1,500,4806.36
8,17.35,0.5,637,13,-1,-1,500,6137.26
9,19.16,0.375,236,32,-1,-1,500,6695.51
10,18.88,0.125,268,1,-1,-1,500,6662.01
11,19.69,0.25,303,33,-1,-1,500,6645.87
12,19.66,0.375,247,194,-1,-1,500,6701.82
13,18.71,0.25,162,12,-1,-1,500,6768.93
14,20.0,0.125,113,477,-1,-1,500,6848.37
15,18.65,0.125,655,185,-1,-1,500,6089.85
16,18.52,0.375,230,53,-1,-1,500,6670.01
17,15.96,0.375,694,12,-1,-1,500,6082.43
18,19.45,0.5,229,47,-1,-1,500,6733.42
19,18.67,0.375,193,30,-1,-1,500,6766.41
20,19.06,0.375,324,38,-1,-1,500,6584.97
21,16.96,0.25,259,35,-1,-1,500,6789.72
22,15.19,0.375,1165,153,-1,-1,500,5343.54
23,18.26,0.0,221,-1,-1,-1,500,6796.92
24,15.37,0.375,1140,97,-1,-1,500,5419.69
25,17.88,0.5,580,81,-1,-1,500,6188.48
26,17.3,0.625,1157,25,-1,-1,500,5378.29
27,18.96,0.25,234,31,-1,-1,500,6721.28
28,16.1,0.375,1129,59,-1,-1,500,5440.58
29,14.66,0.25,1645,1,-1,-1,500,4727.31
30,18.54,0.25,646,68,-1,-1,500,6112.43
