episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,20.11,0.2,108,345,-1,-1,500,6833.16
2,17.92,0.2,225,13,-1,-1,500,6698.61
3,18.58,0.4,632,21,-1,-1,500,6162.54
4,18.46,0.4,555,6,-1,-1,500,6208.55
5,21.05,0.8,117,107,-1,-1,500,6857.34
6,18.45,0.6,628,13,-1,-1,500,6107.67
7,15.61,0.4,1550,163,-1,-1,500,4819.74
8,14.28,0.0,1172,-1,-1,-1,500,5359.23
9,20.63,0.8,593,78,-1,-1,500,6181.6
10,16.24,0.4,1164,271,-1,-1,500,5469.62
11,18.19,0.8,245,106,-1,-1,500,6702.13
12,18.07,0.2,776,336,-1,-1,500,5892.88
13,19.86,0.4,157,15,-1,-1,500,6774.08
14,20.24,0.4,629,11,-1,-1,500,6143.54
15,19.08,0.2,159,50,-1,-1,500,6816.57
16,16.65,0.6,245,73,-1,-1,500,6778.5
17,17.96,0.2,623,103,-1,-1,500,6112.06
18,18.23,0.4,655,426,-1,-1,500,6066.18
19,19.94,0.2,48,63,-1,-1,500,6845.92
20,16.11,0.6,1084,2,-1,-1,500,5481.1
21,15.84,0.4,668,19,-1,-1,500,6072.3
22,17.22,0.6,622,258,-1,-1,500,6156.72
23,17.12,0.6,1160,1,-1,-1,500,5381.47
24,15.35,0.0,1195,-1,-1,-1,500,5322.82
25,14.31,0.4,1599,121,-1,-1,500,4757.97
26,18.71,0.2,218,158,-1,-1,500,6745.64
27,18.46,0.8,606,30,-1,-1,500,6144.48
28,18.64,0.4,592,143,-1,-1,500,6156.93
29,18.89,0.4,609,440,-1,-1,500,6151.87
30,20.95,0.8,138,25,-1,-1,500,6797.12
