episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,62.85,0.8,4058,2,-1
2,61.98,0.6,3196,13,-1
3,54.06,1.0,2921,3,-1
4,60.25,0.6,3551,10,-1
5,43.64,1.0,2877,30,-1
6,64.55,0.8,2884,8,-1
7,61.33,0.8,2761,1,-1
8,62.11,0.6,2977,24,-1
9,63.93,0.8,2837,1,-1
10,64.81,0.8,2458,1,-1
11,60.11,0.6,2506,111,-1
12,32.15,1.0,1204,1,-1
13,60.75,1.0,2413,1,-1
14,45.61,1.0,1599,2,-1
15,52.79,1.0,2310,12,-1
16,38.67,1.0,1516,1,-1
17,53.26,1.0,2072,12,-1
18,51.48,1.0,2672,8,-1
19,48.69,1.0,2287,1,-1
20,53.64,1.0,1773,28,-1
