episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,7.55,0.3,8297,8,-1,-1,700,26656.0
2,7.67,0.5,10384,1,-1,-1,700,24569.0
3,6.57,0.1,9678,63,-1,-1,700,25274.0
4,7.94,0.4,7718,8,-1,-1,700,27232.0
5,7.02,0.4,9558,1,-1,-1,700,25393.0
6,6.69,0.0,11289,-1,-1,-1,700,23663.0
7,7.14,0.5,9274,10,-1,-1,700,25679.0
8,7.72,0.1,6591,25,-1,-1,700,28359.0
9,7.34,0.2,8873,22,-1,-1,700,26080.0
10,6.78,0.3,12414,20,-1,-1,700,22539.0
11,8.04,0.3,5474,24,-1,-1,700,29477.0
12,7.37,0.3,6546,21,-1,-1,700,28407.0
13,7.48,0.1,6106,39,-1,-1,700,28846.0
14,7.62,0.1,7284,10,-1,-1,700,27674.0
15,8.06,0.3,3445,1,-1,-1,700,31510.0
16,7.08,0.2,6184,27,-1,-1,700,28768.0
17,7.71,0.2,6343,7,-1,-1,700,28609.0
18,8.02,0.1,4338,6,-1,-1,700,30612.0
19,7.28,0.3,6330,4,-1,-1,700,28620.0
20,7.39,0.3,10757,22,-1,-1,700,24196.0
21,5.82,0.1,8280,352,-1,-1,700,26673.0
22,6.52,0.4,6807,1,-1,-1,700,28145.0
23,7.07,0.3,8865,13,-1,-1,700,26088.0
24,7.22,0.3,10134,1,-1,-1,700,24818.0
25,7.21,0.4,4185,10,-1,-1,700,30769.0
26,7.3,0.3,9652,58,-1,-1,700,25299.0
27,7.47,0.1,2739,46,-1,-1,700,32212.0
28,7.55,0.2,6777,11,-1,-1,700,28175.0
29,7.01,0.4,7081,14,-1,-1,700,27873.0
30,6.65,0.1,7566,57,-1,-1,700,27386.0
