episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,1.04,0.0,1187,-1,-1,-1,300,0.0
2,2.4,0.0,1430,-1,-1,-1,300,0.0
3,1.56,0.0,1463,-1,-1,-1,300,0.0
4,2.16,0.0,1450,-1,-1,-1,300,0.0
5,2.52,0.333,594,7,-1,-1,300,0.0
6,2.6,0.0,295,-1,-1,-1,300,0.0
7,2.04,0.0,899,-1,-1,-1,300,0.0
8,3.72,0.0,302,-1,-1,-1,300,0.0
9,2.76,0.333,1160,1,-1,-1,300,0.0
10,2.36,0.0,594,-1,-1,-1,300,0.0
11,2.36,0.0,590,-1,-1,-1,300,0.0
12,2.0,0.0,1174,-1,-1,-1,300,0.0
13,4.56,0.333,625,14,-1,-1,300,0.0
14,2.8,0.0,1172,-1,-1,-1,300,0.0
15,1.76,0.333,1463,16,-1,-1,300,0.0
16,2.84,0.0,897,-1,-1,-1,300,0.0
17,1.6,0.0,1463,-1,-1,-1,300,0.0
18,2.16,0.0,600,-1,-1,-1,300,0.0
19,4.04,0.0,375,-1,-1,-1,300,0.0
20,2.52,0.0,876,-1,-1,-1,300,0.0
21,2.4,0.0,604,-1,-1,-1,300,0.0
22,1.6,0.0,1081,-1,-1,-1,300,0.0
23,1.88,0.0,1178,-1,-1,-1,300,0.0
24,2.32,0.0,303,-1,-1,-1,300,0.0
25,2.36,0.0,599,-1,-1,-1,300,0.0
26,1.56,0.333,1465,4,-1,-1,300,0.0
27,1.88,0.0,888,-1,-1,-1,300,0.0
28,2.8,0.333,880,10,-1,-1,300,0.0
29,3.24,0.333,633,99,-1,-1,300,0.0
30,1.84,0.333,896,11,-1,-1,300,0.0
