episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,2.56,0.125,2443,23,-1,-1,500,0.0
2,1.76,0.0,3899,-1,-1,-1,500,0.0
3,1.43,0.0,2467,-1,-1,-1,500,0.0
4,1.32,0.125,4413,1,-1,-1,500,0.0
5,1.97,0.25,3901,1,-1,-1,500,0.0
6,1.56,0.0,3441,-1,-1,-1,500,0.0
7,2.26,0.125,2927,14,-1,-1,500,0.0
8,1.64,0.0,3931,-1,-1,-1,500,0.0
9,1.21,0.0,4393,-1,-1,-1,500,0.0
10,2.04,0.0,2485,-1,-1,-1,500,0.0
11,1.93,0.0,3025,-1,-1,-1,500,0.0
12,1.95,0.125,3631,10,-1,-1,500,0.0
13,2.84,0.125,2855,27,-1,-1,500,0.0
14,1.95,0.0,2918,-1,-1,-1,500,0.0
15,1.93,0.25,3428,17,-1,-1,500,0.0
16,2.91,0.125,2741,12,-1,-1,500,0.0
17,2.03,0.125,2908,14,-1,-1,500,0.0
18,1.72,0.25,4364,7,-1,-1,500,0.0
19,2.93,0.0,2001,-1,-1,-1,500,0.0
20,3.36,0.125,972,9,-1,-1,500,0.0
21,2.28,0.125,3850,8,-1,-1,500,0.0
22,2.05,0.125,3907,1,-1,-1,500,0.0
23,3.57,0.125,959,31,-1,-1,500,0.0
24,2.18,0.0,3877,-1,-1,-1,500,0.0
25,1.99,0.0,3892,-1,-1,-1,500,0.0
26,0.86,0.125,4445,1,-1,-1,500,0.0
27,2.68,0.125,2905,22,-1,-1,500,0.0
28,1.79,0.0,2473,-1,-1,-1,500,0.0
29,1.42,0.125,3456,1,-1,-1,500,0.0
30,2.12,0.0,3868,-1,-1,-1,500,0.0
