episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,78.7,0.2,1045,280,-1,-1,500,3329.13
2,74.19,0.2,85,1,-1,-1,500,4538.67
3,80.97,0.2,132,75,-1,-1,500,4764.57
4,73.26,0.0,17,-1,-1,-1,500,4297.62
5,80.15,0.0,1522,-1,-1,-1,500,3311.99
6,76.92,0.2,392,306,-1,-1,500,4101.51
7,83.66,0.2,505,300,-1,-1,500,4206.81
8,66.54,0.2,2187,86,-1,-1,500,2238.66
9,85.8,1.0,51,4,-1,385,385,3902.84
10,74.86,0.0,28,-1,-1,-1,500,4440.35
11,73.74,0.4,694,1,-1,-1,500,4054.49
12,77.78,0.0,58,-1,-1,-1,500,4867.12
13,90.8,0.0,2,-1,295,-1,500,4050.95
14,70.4,0.4,1046,17,-1,-1,500,3927.38
15,86.96,0.4,50,35,-1,-1,500,4946.16
16,73.96,0.2,788,152,-1,-1,500,3913.78
17,81.06,0.4,891,64,-1,-1,500,3627.04
18,59.05,0.2,23,88,-1,-1,500,4189.98
19,79.79,0.2,275,229,-1,-1,500,4874.79
20,68.27,0.0,1197,-1,-1,-1,500,3290.31
21,70.77,0.0,407,-1,-1,-1,500,4553.85
22,69.3,0.4,452,60,-1,-1,500,3733.53
23,75.81,0.4,1068,14,-1,-1,500,3782.22
24,85.79,0.2,537,30,-1,-1,500,4261.0
25,74.09,0.0,102,-1,-1,-1,500,4454.18
26,79.05,0.4,481,5,-1,-1,500,3720.21
27,69.79,0.4,511,54,-1,-1,500,4032.93
28,83.92,0.0,48,-1,-1,-1,500,5072.52
29,95.1,0.4,377,1,172,-1,500,4226.88
30,84.29,0.2,522,174,-1,-1,500,3694.14
