episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,12.36,0.0,1431,-1,-1,-1,300,865.71
2,6.36,0.0,3166,-1,-1,-1,300,608.92
3,8.88,0.333,557,1,-1,-1,300,1239.82
4,8.72,0.0,906,-1,-1,-1,300,1081.34
5,11.8,0.333,421,7,-1,-1,300,933.8
6,6.2,0.333,1000,55,-1,-1,300,1059.13
7,15.0,0.333,2285,252,-1,-1,300,1207.37
8,17.64,0.667,1810,219,-1,-1,300,705.45
9,1.68,0.0,2098,-1,-1,-1,300,328.32
10,15.24,0.0,1123,-1,-1,-1,300,749.85
11,9.36,0.0,1161,-1,-1,-1,300,810.27
12,9.52,0.333,1063,43,-1,-1,300,1139.9
13,13.76,0.333,1235,225,-1,-1,300,993.24
14,14.24,0.333,948,197,-1,-1,300,748.88
15,11.52,0.333,892,5,-1,-1,300,1382.11
16,13.92,0.333,683,24,-1,-1,300,1339.25
17,8.4,0.0,1506,-1,-1,-1,300,837.7
18,8.36,0.333,1142,8,-1,-1,300,1075.27
19,10.56,0.667,583,2,-1,-1,300,1256.16
20,20.2,0.333,819,34,-1,-1,300,1670.49
21,12.32,0.0,1736,-1,-1,-1,300,1355.69
22,8.2,0.667,842,1,-1,-1,300,499.59
23,7.92,0.333,1454,35,-1,-1,300,425.64
24,13.04,0.0,1009,-1,-1,-1,300,1050.48
25,7.88,0.333,1097,4,-1,-1,300,1124.31
26,12.44,0.333,1450,1,-1,-1,300,936.56
27,10.6,0.333,1197,18,-1,-1,300,1089.54
28,8.04,0.333,1714,232,-1,-1,300,706.44
29,7.36,0.333,897,5,-1,-1,300,966.95
30,18.44,0.333,1263,197,-1,-1,300,1555.99
