episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,5.89,0.125,2380,41,-1,-1,500,934.89
2,6.46,0.125,1784,77,-1,-1,500,1377.0
3,6.65,0.375,1348,5,-1,-1,500,1940.87
4,7.48,0.25,1508,1,-1,-1,500,2238.4
5,4.81,0.375,2672,1,-1,-1,500,1691.71
6,4.3,0.0,3320,-1,-1,-1,500,782.72
7,4.02,0.0,2876,-1,-1,-1,500,732.03
8,7.7,0.375,2453,26,-1,-1,500,1749.74
9,8.97,0.125,2776,194,-1,-1,500,1773.36
10,5.12,0.125,2075,3,-1,-1,500,1438.76
11,6.53,0.375,2747,14,-1,-1,500,1477.43
12,8.27,0.25,3111,115,-1,-1,500,1957.55
13,6.48,0.0,2243,-1,-1,-1,500,1760.48
14,9.7,0.375,1600,33,-1,-1,500,1871.91
15,4.9,0.25,3013,17,-1,-1,500,1379.98
16,6.62,0.25,2448,23,-1,-1,500,2167.55
17,5.34,0.375,1909,43,-1,-1,500,1522.16
18,8.84,0.25,1957,21,-1,-1,500,1829.48
19,4.92,0.0,2315,-1,-1,-1,500,1285.34
20,5.74,0.25,2156,4,-1,-1,500,1511.28
21,4.28,0.25,2853,13,-1,-1,500,600.98
22,6.1,0.125,2862,2,-1,-1,500,1491.41
23,8.44,0.25,1237,13,-1,-1,500,2237.54
24,5.36,0.375,2639,23,-1,-1,500,1096.32
25,10.98,0.25,1888,45,-1,-1,500,2633.78
26,4.4,0.25,2653,30,-1,-1,500,1334.59
27,6.59,0.25,2390,289,-1,-1,500,1890.67
28,4.47,0.125,2593,16,-1,-1,500,1205.05
29,4.84,0.25,3333,1,-1,-1,500,1237.46
30,5.66,0.125,2430,470,-1,-1,500,946.26
