episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,8.42,0.0,1670,-1,-1,-1,500,2398.43
2,8.76,0.4,1422,308,-1,-1,500,2732.65
3,6.08,0.4,2359,1,-1,-1,500,1456.68
4,7.86,0.4,2454,70,-1,-1,500,1582.16
5,9.3,0.4,1070,49,-1,-1,500,2803.6
6,7.13,0.2,1989,69,-1,-1,500,1662.28
7,2.34,0.2,2939,1,-1,-1,500,956.74
8,7.54,0.4,2409,24,-1,-1,500,1283.68
9,10.7,0.2,2781,8,-1,-1,500,2638.25
10,8.12,0.0,1974,-1,-1,-1,500,1477.39
11,7.05,0.0,1953,-1,-1,-1,500,1626.46
12,7.31,0.4,2457,28,-1,-1,500,1697.2
13,10.13,0.4,1750,1,-1,-1,500,2109.59
14,7.32,0.4,2363,3,-1,-1,500,1892.03
15,7.08,0.2,1529,100,-1,-1,500,2591.75
16,8.34,0.2,710,16,-1,-1,500,1398.97
17,8.01,0.2,2460,29,-1,-1,500,1578.26
18,7.0,0.0,1872,-1,-1,-1,500,1555.81
19,7.78,0.4,1492,205,-1,-1,500,1849.88
20,6.32,0.2,1995,2,-1,-1,500,1881.72
21,4.83,0.4,3475,236,-1,-1,500,975.9
22,8.87,0.6,2098,24,-1,-1,500,1444.34
23,5.39,0.4,3035,1,-1,-1,500,1534.52
24,7.19,0.2,2377,338,-1,-1,500,1859.89
25,5.82,0.0,2871,-1,-1,-1,500,1801.31
26,6.3,0.2,1891,11,-1,-1,500,1818.18
27,5.77,0.0,2102,-1,-1,-1,500,1818.98
28,8.2,0.4,1917,4,-1,-1,500,1454.47
29,7.51,0.2,2022,74,-1,-1,500,2339.45
30,6.07,0.4,3241,173,-1,-1,500,1392.58
