episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,12.49,0.2,6486,37,-1
2,16.47,0.0,4597,-1,-1
3,19.96,0.6,6649,93,-1
4,13.85,0.4,7081,245,-1
5,11.11,0.6,6335,21,-1
6,10.98,0.4,7688,15,-1
7,15.63,0.2,7706,9,-1
8,12.28,0.4,8509,16,-1
9,16.66,0.4,7312,342,-1
10,22.0,0.4,4910,17,-1
11,13.21,0.8,8367,6,-1
12,14.28,0.2,6741,5,-1
13,15.7,0.2,6634,394,-1
14,11.86,0.2,8067,48,-1
15,20.98,0.6,5046,7,-1
16,12.63,0.6,5531,6,-1
17,13.23,0.4,5568,1,-1
18,12.01,0.4,7339,183,-1
19,15.27,0.4,5778,9,-1
20,16.6,0.8,4646,13,-1
