episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,20.53,0.4,3305,210,-1,-1,700,24262.7
2,20.4,0.7,1939,1,-1,-1,700,25380.54
3,19.6,0.3,2181,7,-1,-1,700,25365.85
4,19.93,0.4,2018,11,-1,-1,700,25347.34
5,20.4,0.4,1342,2,-1,-1,700,25842.87
6,20.34,0.2,3219,177,-1,-1,700,24350.57
7,19.95,0.6,2101,98,-1,-1,700,25226.54
8,20.65,0.2,2028,232,-1,-1,700,25233.36
9,19.4,0.1,1610,514,-1,-1,700,25737.46
10,19.8,0.2,2872,187,-1,-1,700,24738.87
11,19.82,0.2,2629,29,-1,-1,700,24823.21
12,18.84,0.2,2847,196,-1,-1,700,24827.36
13,20.03,0.2,2096,2,-1,-1,700,25498.15
14,20.16,0.2,2934,24,-1,-1,700,24701.91
15,20.1,0.2,2255,236,-1,-1,700,25204.02
16,20.97,0.6,1329,300,-1,-1,700,25825.91
17,19.25,0.5,4058,106,-1,-1,700,23708.52
18,19.13,0.2,2694,1,-1,-1,700,24726.41
19,19.51,0.6,2802,23,-1,-1,700,24665.58
20,19.33,0.2,2759,43,-1,-1,700,24622.57
21,19.33,0.4,3033,46,-1,-1,700,24622.32
22,19.01,0.6,2612,84,-1,-1,700,24823.48
23,20.32,0.6,2395,1,-1,-1,700,25206.95
24,19.67,0.4,2123,43,-1,-1,700,25099.27
25,19.82,0.1,3346,339,-1,-1,700,24330.65
26,21.16,0.4,1379,19,-1,-1,700,25871.1
27,20.2,0.3,1407,454,-1,-1,700,25815.19
28,19.21,0.3,3687,1,-1,-1,700,24029.14
29,20.34,0.5,583,30,-1,-1,700,26402.87
30,20.3,0.2,2819,38,-1,-1,700,24777.56
