episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,16.08,0.333,61,13,-1,-1,300,0.0
2,14.84,0.0,53,-1,-1,-1,300,0.0
3,17.32,0.333,30,3,-1,-1,300,0.0
4,13.2,0.333,329,1,-1,-1,300,0.0
5,16.36,0.333,85,184,-1,-1,300,0.0
6,15.68,0.667,22,6,-1,-1,300,0.0
7,14.72,0.333,138,44,-1,-1,300,0.0
8,17.8,0.667,84,46,-1,-1,300,0.0
9,11.76,1.0,254,10,-1,253,253,0.0
10,16.6,0.0,44,-1,-1,-1,300,0.0
11,9.96,1.0,45,4,-1,163,163,0.0
12,15.32,0.333,40,218,-1,-1,300,0.0
13,2.96,1.0,1,14,-1,35,35,0.0
14,17.16,0.0,68,-1,-1,-1,300,0.0
15,17.28,0.667,26,31,-1,-1,300,0.0
16,13.48,1.0,72,24,-1,213,213,0.0
17,15.84,0.0,79,-1,-1,-1,300,0.0
18,16.44,0.333,40,92,-1,-1,300,0.0
19,14.76,0.333,317,24,-1,-1,300,0.0
20,15.2,0.0,22,-1,-1,-1,300,0.0
21,15.4,0.0,46,-1,-1,-1,300,0.0
22,14.44,0.333,37,99,-1,-1,300,0.0
23,13.48,0.667,341,37,-1,-1,300,0.0
24,16.76,0.0,18,-1,-1,-1,300,0.0
25,16.04,0.333,330,167,-1,-1,300,0.0
26,11.96,0.0,105,-1,-1,-1,300,0.0
27,13.0,0.333,337,15,-1,-1,300,0.0
28,10.48,0.0,620,-1,-1,-1,300,0.0
29,14.44,0.0,344,-1,-1,-1,300,0.0
30,13.16,0.333,330,236,-1,-1,300,0.0
