episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,11.65,0.125,674,282,-1,-1,500,0.0
2,10.97,0.125,678,110,-1,-1,500,0.0
3,11.39,0.25,606,1,-1,-1,500,0.0
4,10.67,0.125,1020,231,-1,-1,500,0.0
5,13.96,0.5,88,3,-1,-1,500,0.0
6,8.55,0.125,1618,103,-1,-1,500,0.0
7,12.75,0.25,143,354,-1,-1,500,0.0
8,9.28,0.25,1055,237,-1,-1,500,0.0
9,12.56,0.25,147,12,-1,-1,500,0.0
10,11.96,0.25,151,76,-1,-1,500,0.0
11,11.16,0.375,617,81,-1,-1,500,0.0
12,12.36,0.25,171,2,-1,-1,500,0.0
13,14.78,0.125,51,96,-1,-1,500,0.0
14,11.8,0.125,586,202,-1,-1,500,0.0
15,9.86,0.125,758,3,-1,-1,500,0.0
16,10.96,0.375,750,3,-1,-1,500,0.0
17,12.85,0.25,87,207,-1,-1,500,0.0
18,10.75,0.0,682,-1,-1,-1,500,0.0
19,11.62,0.375,592,21,-1,-1,500,0.0
20,11.6,0.25,155,44,-1,-1,500,0.0
21,12.55,0.25,149,165,-1,-1,500,0.0
22,13.1,0.125,66,177,-1,-1,500,0.0
23,13.04,0.375,172,171,-1,-1,500,0.0
24,14.15,0.125,108,52,-1,-1,500,0.0
25,11.61,0.375,170,163,-1,-1,500,0.0
26,7.74,0.125,1601,315,-1,-1,500,0.0
27,10.36,0.5,1111,193,-1,-1,500,0.0
28,10.69,0.0,573,-1,-1,-1,500,0.0
29,9.46,0.125,1192,5,-1,-1,500,0.0
30,12.24,0.125,608,47,-1,-1,500,0.0
