episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,13.44,0.4,80,274,-1,-1,500,0.0
2,13.99,0.4,98,16,-1,-1,500,0.0
3,10.49,0.2,837,18,-1,-1,500,0.0
4,13.22,0.0,608,-1,-1,-1,500,0.0
5,13.04,0.0,134,-1,-1,-1,500,0.0
6,11.51,0.2,119,81,-1,-1,500,0.0
7,12.41,0.0,66,-1,-1,-1,500,0.0
8,9.79,0.2,1076,246,-1,-1,500,0.0
9,11.36,0.2,631,251,-1,-1,500,0.0
10,13.75,0.2,45,223,-1,-1,500,0.0
11,11.85,0.6,520,120,-1,-1,500,0.0
12,12.83,0.2,117,226,-1,-1,500,0.0
13,12.94,0.2,556,360,-1,-1,500,0.0
14,10.51,0.0,1090,-1,-1,-1,500,0.0
15,13.24,0.2,120,42,-1,-1,500,0.0
16,13.13,0.0,119,-1,-1,-1,500,0.0
17,9.5,0.0,1087,-1,-1,-1,500,0.0
18,9.87,0.2,1584,191,-1,-1,500,0.0
19,11.47,0.6,565,13,-1,-1,500,0.0
20,9.4,0.0,1117,-1,-1,-1,500,0.0
21,11.83,0.6,577,1,-1,-1,500,0.0
22,12.6,0.4,105,2,-1,-1,500,0.0
23,13.07,0.4,116,186,-1,-1,500,0.0
24,12.11,0.6,574,115,-1,-1,500,0.0
25,13.16,0.2,74,1,-1,-1,500,0.0
26,9.93,0.2,1077,87,-1,-1,500,0.0
27,10.37,0.4,1040,39,-1,-1,500,0.0
28,9.39,0.0,1064,-1,-1,-1,500,0.0
29,12.72,0.0,146,-1,-1,-1,500,0.0
30,10.02,0.4,1034,4,-1,-1,500,0.0
