source,target,coverage,detection
SWARN-S1,SWARN-S1,71.40399999999998,0.6666666666666666
SWARN-S1,SWARN-S2,68.16,0.5333333333333333
SWARN-S1,SWARN-S3,65.01699999999998,0.44000000000000006
SWARN-S1,SWARN-S4,62.178,0.42000000000000004
SWARN-S1,SWARN-S5,64.25699999999999,0.44000000000000006
SWARN-S1,SWARN-S6,63.532,0.375
SWARN-S1,SWARN-S7,74.20044444444444,0.55
SWARN-S1,SWARN-S8,71.36533333333333,0.4
SWARN-S1,SWARN-S9,81.13875,0.57
SWARN-S1,SWARN-S10,81.81825,0.71
SWARN-S1,SWARN-S11,85.7528,0.6533333333333333
SWARN-S1,SWARN-S12,86.97152,0.6666666666666666
SWARN-S5,SWARN-S1,72.2,0.5666666666666667
SWARN-S5,SWARN-S2,65.37599999999999,0.4333333333333333
SWARN-S5,SWARN-S3,62.788,0.38
SWARN-S5,SWARN-S4,60.989,0.5399999999999999
SWARN-S5,SWARN-S5,56.599000000000004,0.4
SWARN-S5,SWARN-S6,60.806000000000004,0.3875
SWARN-S5,SWARN-S7,72.71822222222222,0.5125
SWARN-S5,SWARN-S8,72.94088888888889,0.575
SWARN-S5,SWARN-S9,81.31074999999998,0.68
SWARN-S5,SWARN-S10,78.976,0.6
SWARN-S5,SWARN-S11,86.73488,0.6599999999999999
SWARN-S5,SWARN-S12,86.65968000000001,0.7333333333333333
SWARN-S9,SWARN-S1,72.06800000000001,0.5333333333333333
SWARN-S9,SWARN-S2,67.60799999999999,0.4666666666666666
SWARN-S9,SWARN-S3,64.58399999999999,0.45999999999999996
SWARN-S9,SWARN-S4,60.983999999999995,0.44000000000000006
SWARN-S9,SWARN-S5,68.63,0.4600000000000001
SWARN-S9,SWARN-S6,62.799,0.5
SWARN-S9,SWARN-S7,73.5368888888889,0.5375
SWARN-S9,SWARN-S8,71.892,0.5625
SWARN-S9,SWARN-S9,82.68325000000002,0.6
SWARN-S9,SWARN-S10,78.9105,0.61
SWARN-S9,SWARN-S11,85.6736,0.6533333333333333
SWARN-S9,SWARN-S12,85.80928000000002,0.72
SWARN-S12,SWARN-S1,68.96000000000001,0.4666666666666667
SWARN-S12,SWARN-S2,65.03999999999999,0.4
SWARN-S12,SWARN-S3,61.247,0.33999999999999997
SWARN-S12,SWARN-S4,66.58399999999999,0.3
SWARN-S12,SWARN-S5,67.038,0.38
SWARN-S12,SWARN-S6,60.064,0.375
SWARN-S12,SWARN-S7,77.28177777777778,0.475
SWARN-S12,SWARN-S8,74.27422222222222,0.525
SWARN-S12,SWARN-S9,81.50325000000001,0.52
SWARN-S12,SWARN-S10,81.17875000000001,0.6399999999999999
SWARN-S12,SWARN-S11,84.82624,0.6933333333333334
SWARN-S12,SWARN-S12,85.11744,0.68
