episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,95.6,0.2,14994,64,160,-1,700,17917.13
2,94.48,0.5,13185,7,217,-1,700,18360.78
3,95.03,0.4,13207,18,313,-1,700,18242.54
4,92.56,0.4,13161,25,250,-1,700,17299.94
5,90.72,0.5,15339,43,674,-1,700,15737.27
6,91.59,0.5,14184,9,274,-1,700,16610.1
7,96.5,0.4,10107,21,160,-1,700,17702.07
8,93.4,0.5,17188,1,153,-1,700,13030.77
9,97.24,0.5,16560,2,111,-1,700,14354.13
10,91.88,0.3,12809,16,562,-1,700,16322.2
11,97.22,0.4,14667,11,100,-1,700,16287.9
12,97.47,0.4,11084,1,97,-1,700,18241.35
13,93.85,0.4,12095,56,139,-1,700,19216.68
14,92.04,0.3,13699,21,281,-1,700,16862.54
15,96.1,0.5,13972,1,167,-1,700,16511.64
16,88.83,0.7,16564,16,-1,-1,700,17845.82
17,95.63,0.4,16241,25,166,-1,700,14979.2
18,95.28,0.3,12470,44,155,-1,700,17451.71
19,97.95,0.6,9929,6,120,-1,700,20749.88
20,95.2,0.5,12170,1,99,-1,700,16148.47
21,97.48,0.7,12737,5,105,-1,700,18334.94
22,91.63,0.5,11708,23,563,-1,700,19320.9
23,96.04,0.5,12620,1,156,-1,700,19631.54
24,96.57,0.4,15322,2,110,-1,700,17128.55
25,92.38,0.4,9903,12,605,-1,700,19809.85
26,97.14,0.7,10806,23,249,-1,700,19208.96
27,95.1,0.2,15325,83,191,-1,700,16486.8
28,97.72,0.6,12869,5,170,-1,700,17547.26
29,95.44,0.6,15401,1,179,-1,700,17993.35
30,90.36,0.1,14442,651,603,-1,700,17090.65
